# 20250602_134206
alpha,Re@phiIm@phi,Re@DphiIm@Dphi
0.6855530.1,0,0,0
0.6871250.1,0,0,0
0.6886970.1,0,0,0
0.690270.1,0,0,0
0.6918420.1,0,0,0
0.6934150.1,0,0,0
0.6949870.1,0,0,0
0.6965590.1,0,0,0
0.6981320.1,0,0,0
0.6997040.1,0,0,0
0.7012760.1,0,0,0
0.7028490.1,0,0,0
0.7044210.1,0,0,0
0.7059940.1,0,0,0
0.7075660.1,0,0,0
0.7091380.1,0,0,0
0.7107110.1,0,0,0
0.7122830.1,0,0,0
0.7138550.1,0,0,0
0.7154280.1,0,0,0
0.7170.1,0,0,0
0.7185720.1,0,0,0
0.7201450.1,0,0,0
0.7217170.1,0,0,0
0.723290.1,0,0,0
0.7248620.1,0,0,0
0.7264340.1,0,0,0
0.7280070.1,0,0,0
0.7295790.1,0,0,0
0.7311510.1,0,0,0
0.7327240.1,0,0,0
0.7342960.1,0,0,0
0.7358690.1,0,0,0
0.7374410.1,0,0,0
0.7390130.1,0,0,0
0.7405860.1,0,0,0
0.7421580.1,0,0,0
0.743730.1,0,0,0
0.7453030.1,0,0,0
0.7468750.1,0,0,0
0.7484470.1,0,0,0
0.750020.1,0,0,0
0.7515920.1,0,0,0
0.7531650.1,0,0,0
0.7547370.1,0,0,0
0.7563090.1,0,0,0
0.7578820.1,0,0,0
0.7594540.1,0,0,0
0.7610260.1,0,0,0
0.7625990.1,0,0,0
0.7641710.1,0,0,0
0.7657440.1,0,0,0
0.7673160.1,0,0,0
0.7688880.1,0,0,0
0.7704610.1,0,0,0
0.7720330.1,0,0,0
0.7736050.1,0,0,0
0.7751780.1,0,0,0
0.776750.1,0,0,0
0.7783230.1,0,0,0
0.7798950.1,0,0,0
0.7814670.1,0,0,0
0.783040.1,0,0,0
0.7846120.1,0,0,0
0.7861840.1,0,0,0
0.7877570.1,0,0,0
0.7893290.1,0,0,0
0.7909010.1,0,0,0
0.7924740.1,0,0,0
0.7940460.1,0,0,0
0.7956190.1,0,0,0
0.7971910.1,0,0,0
0.7987630.1,0,0,0
0.8003360.1,0,0,0
0.8019080.1,0,0,0
0.803480.1,0,0,0
0.8050530.1,0,0,0
0.8066250.1,0,0,0
0.8081980.1,0,0,0
0.809770.1,0,0,0
0.8113420.1,0,0,0
0.8129150.1,0,0,0
0.8144870.1,0,0,0
0.8160590.1,0,0,0
0.8176320.1,0,0,0
0.8192040.1,0,0,0
0.8207760.1,0,0,0
0.8223490.1,0,0,0
0.8239210.1,0,0,0
0.8254940.1,0,0,0
0.8270660.1,0,0,0
0.8286380.1,0,0,0
0.8302110.1,0,0,0
0.8317830.1,0,0,0
0.8333550.1,0,0,0
0.8349280.1,0,0,0
0.83650.1,0,0,0
0.8380730.1,0,0,0
0.8396450.1,0,0,0
0.8412170.1,0,0,0
0.842790.1,0,0,0
0.8443620.1,0,0,0
0.8459340.1,0,0,0
0.8475070.1,0,0,0
0.8490790.1,0,0,0
0.8506510.1,0,0,0
0.8522240.1,0,0,0
0.8537960.1,0,0,0
0.8553690.1,0,0,0
0.8569410.1,0,0,0
0.8585130.1,0,0,0
0.8600860.1,0,0,0
0.8616580.1,0,0,0
0.863230.1,0,0,0
0.8648030.1,0,0,0
0.8663750.1,0,0,0
0.8679480.1,0,0,0
0.869520.1,0,0,0
0.8710920.1,0,0,0
0.8726650.1,0,0,0
0.8742370.1,0,0,0
0.8758090.1,0,0,0
0.8773820.1,0,0,0
0.8789540.1,0,0,0
0.8805260.1,0,0,0
0.8820990.1,0,0,0
0.8836710.1,0,0,0
0.8852440.1,0,0,0
0.8868160.1,0,0,0
0.8883880.1,0,0,0
0.8899610.1,0,0,0
0.8915330.1,0,0,0
0.8931050.1,0,0,0
0.8946780.1,0,0,0
0.896250.1,0,0,0
0.8978230.1,0,0,0
0.8993950.1,0,0,0
0.9009670.1,0,0,0
0.902540.1,0,0,0
0.9041120.1,0,0,0
0.9056840.1,0,0,0
0.9072570.1,0,0,0
0.9088290.1,0,0,0
0.9104010.1,0,0,0
0.9119740.1,0,0,0
0.9135460.1,0,0,0
0.9151190.1,0,0,0
0.9166910.1,0,0,0
0.9182630.1,0,0,0
0.9198360.1,0,0,0
0.9214080.1,0,0,0
0.922980.1,0,0,0
0.9245530.1,0,0,0
0.9261250.1,0,0,0
0.9276980.1,0,0,0
0.929270.1,0,0,0
0.9308420.1,0,0,0
0.9324150.1,0,0,0
0.9339870.1,0,0,0
0.9355590.1,0,0,0
0.9371320.1,0,0,0
0.9387040.1,0,0,0
0.9402760.1,0,0,0
0.9418490.1,0,0,0
0.9434210.1,0,0,0
0.9449940.1,0,0,0
0.9465660.1,0,0,0
0.9481380.1,0,0,0
0.9497110.1,0,0,0
0.9512830.1,0,0,0
0.9528550.1,0,0,0
0.9544280.1,0,0,0
0.9560.1,0,0,0
0.9575730.1,0,0,0
0.9591450.1,0,0,0
0.9607170.1,0,0,0
0.962290.1,0,0,0
0.9638620.1,0,0,0
0.9654340.1,0,0,0
0.9670070.1,0,0,0
0.9685790.1,0,0,0
0.9701510.1,0,0,0
0.9717240.1,0,0,0
0.9732960.1,0,0,0
0.9748690.1,0,0,0
0.9764410.1,0,0,0
0.9780130.1,0,0,0
0.9795860.1,0,0,0
0.9811580.1,0,0,0
0.982730.1,0,0,0
0.9843030.1,0,0,0
0.9858750.1,0,0,0
0.9874480.1,0,0,0
0.989020.1,0,0,0
0.9905920.1,0,0,0
0.9921650.1,0,0,0
0.9937370.1,0,0,0
0.9953090.1,0,0,0
0.9968820.1,0,0,0
0.9984540.1,0,0,0
1.000030.1,0,0,0
1.00160.1,0,0,0
1.003170.1,0,0,0
1.004740.1,0,0,0
1.006320.1,0,0,0
1.007890.1,0,0,0
1.009460.1,0,0,0
1.011030.1,0,0,0
1.012610.1,0,0,0
1.014180.1,0,0,0
1.015750.1,0,0,0
1.017320.1,0,0,0
1.018890.1,0,0,0
1.020470.1,0,0,0
1.022040.1,0,0,0
1.023610.1,0,0,0
1.025180.1,0,0,0
1.026760.1,0,0,0
1.028330.1,0,0,0
1.02990.1,0,0,0
1.031470.1,0,0,0
1.033050.1,0,0,0
1.034620.1,0,0,0
1.036190.1,0,0,0
1.037760.1,0,0,0
1.039340.1,0,0,0
1.040910.1,0,0,0
1.042480.1,0,0,0
1.044050.1,0,0,0
1.045630.1,0,0,0
1.04720.1,0,0,0
1.048770.1,0,0,0
1.050340.1,0,0,0
1.051910.1,0,0,0
1.053490.1,0,0,0
1.055060.1,0,0,0
1.056630.1,0,0,0
1.05820.1,0,0,0
1.059780.1,0,0,0
1.061350.1,0,0,0
1.062920.1,0,0,0
1.064490.1,0,0,0
1.066070.1,0,0,0
1.067640.1,0,0,0
1.069210.1,0,0,0
1.070780.1,0,0,0
1.072360.1,0,0,0
1.073930.1,0,0,0
1.07550.1,0,0,0
1.077070.1,0,0,0
